,
Glutine,Cereali/grano/segale/orzo/avena/farro
Crostacei e derivati,Gamberi e simili
Uova e derivati,Tutti i prodotti composti con uova
Pesce e derivati,Inclusi i derivati
Arachidi e derivati,Snack confezionati e creme
Soia e derivati,Latte e tofu
Latte e derivati,Ogni prodotto in cui viene usato il latte
Frutta a guscio e derivati,Mandorle/nocciole/noci
Sedano e derivati,Salse e concentrati vegetali
Senape e derivati,Salse e condimenti
Semi di sesamo e derivati,Semi interi usati per il pane e qualche tipo di farina
Anidride solforosa e solfiti in concentrazioni superiori a 10 mg/kg o 10 mg/l espressi come SO2,Cibi sott'aceto ed in salamoia
Lupino e derivati,Farine e similari
Molluschi e derivati,Vari tipi di molluschi
